Date,User,Message
2020-03-25 15:19:45,"강강강","슼 그대로 사무실감??"
2020-03-25 15:19:58,"강강강","승 재택근무 안함??"
2020-03-25 15:22:28,"스코","나는 사무실이나 집이나ㅋㅋㅋ"
2020-03-25 15:25:28,"승모","어 아프다고 전화하니까"
2020-03-25 15:25:30,"승모","지랄하지 말라던데"
2020-03-25 18:08:45,"강강강","아파도 나오라했다고?"
2020-03-25 18:08:51,"강강강","진짜 지랄 함 해야겠네 ㄷㄷㄷ"
2020-03-25 18:20:13,"승모","어"
2020-03-25 18:20:21,"승모","감기 걸린거 같은데 혹시 몰라서 고민중이라고 하니까"
2020-03-25 18:20:25,"승모","지랄하지 말라대"
2020-03-25 18:20:29,"승모","걍 나오라대"
2020-03-25 18:31:23,"강강강","걍 나오라던 새키 앞에서"
2020-03-25 18:31:27,"강강강","기침 겁나 해대셈"
2020-03-25 18:58:32,"승모","민성이는? 재택근무 하나 ? "
2020-03-25 19:00:53,"강강강","노놉 퇴사하고 코딩공부함"
2020-03-25 19:00:57,"강강강","학원댕긴다우"
2020-03-25 19:12:29,"승모","다들"
2020-03-25 19:12:37,"승모","퇴사하네"
2020-03-25 19:12:46,"승모","언제 그만뒀노"
2020-03-25 20:02:03,"스코","어디다니노??"
2020-03-25 20:02:19,"스코","학원 거기는 코로나 없나??"
2020-03-26 07:28:31,"강강강","종각으로 다니는데"
2020-03-26 07:28:39,"강강강","코로나는 아직 없음"
2020-04-18 15:22:30,"김정식","사진"
2020-04-18 15:22:41,"김정식","날씨 개좋네"
2020-04-18 15:24:48,"스코","마"
2020-04-18 15:24:49,"스코","식이"
2020-04-18 15:24:56,"스코","오른쪽 바바라"
2020-04-18 15:26:24,"스코","사진"
2020-04-18 15:26:56,"강강강","ㅋㅋㅋㅋㅋㅋㅋ 데이트하나 둘이"
2020-04-18 15:26:59,"강강강","올공임?"
2020-04-18 15:27:32,"스코","올공인건 어케 알았누?"
2020-04-18 15:30:44,"김정식","사진"
2020-04-18 15:32:06,"김정식","밀집스코 어째알고✌했네 ㅋㅋㄱ"
2020-04-18 15:32:07,"스코","사진"
2020-04-18 15:32:34,"스코","내가??"
2020-04-18 15:34:17,"강강강","머고 먼상황임 ㅋㅋㅋㅋㅋㅋㅋ"
2020-04-18 15:34:52,"강강강","슼 누구랑임?"
2020-04-18 15:35:35,"스코","따로 왔다 만난상황임"
2020-04-18 15:35:37,"스코","ㅋㅋㅋ"
2020-04-18 15:36:03,"김정식","운동 끝나고 올공벤치에 앉아있는데"
2020-04-18 15:36:09,"김정식","갑자기 스코 등장ㅋㅋㅋㅋㅋㅋ"
2020-04-18 15:36:16,"김정식","니가 왜 거기서 나와?"
2020-04-18 15:36:23,"김정식","상황ㅋㅋ"
2020-04-18 15:36:44,"김정식","스코 데이트중"
2020-04-18 15:36:50,"김정식","딱걸림"
2020-04-18 15:38:03,"스코","ㅋㅋㅋㅋㅋㅋ"
2020-04-18 15:38:35,"스코","나는 데이트는 아니고"
